"","IdLandkreis","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"415",16053,"2022-05-20",29,40.7142857142857
"416",16054,"2022-05-20",6,11
"417",16061,"2022-05-20",15,47.5714285714286
"418",16063,"2022-05-20",27,57.1428571428571
"419",16064,"2022-05-20",28,39.4285714285714
"420",16065,"2022-05-20",9,16.5714285714286
"421",16066,"2022-05-20",24,29
"422",16067,"2022-05-20",10,38.4285714285714
"423",16068,"2022-05-20",1,10
"424",16069,"2022-05-20",11,15.1428571428571
"425",16070,"2022-05-20",15,28.4285714285714
"426",16071,"2022-05-20",17,23.2857142857143
"427",16072,"2022-05-20",11,10
"428",16073,"2022-05-20",10,15.5714285714286
"429",16074,"2022-05-20",16,17.8571428571429
"430",16075,"2022-05-20",8,10.5714285714286
"431",16076,"2022-05-20",15,13.1428571428571
"432",16077,"2022-05-20",11,15.5714285714286
"433",11000,"2022-05-20",1159,1412.14285714286
"434",1001,"2022-05-19",82,104.714285714286
"435",1002,"2022-05-19",164,264
"436",1003,"2022-05-19",194,242.428571428571
"437",1004,"2022-05-19",37,47
"438",1051,"2022-05-19",108,139.714285714286
"439",1053,"2022-05-19",126,133.142857142857
"440",1054,"2022-05-19",194,152.714285714286
"441",1055,"2022-05-19",133,152
"442",1056,"2022-05-19",251,246
"443",1057,"2022-05-19",138,164.857142857143
"444",1058,"2022-05-19",232,376.428571428571
"445",1059,"2022-05-19",195,172.142857142857
"446",1060,"2022-05-19",201,216
"447",1061,"2022-05-19",86,100.142857142857
"448",1062,"2022-05-19",201,260.285714285714
"449",2000,"2022-05-19",837,1124.57142857143
"450",3101,"2022-05-19",182,241.857142857143
"451",3102,"2022-05-19",30,65.8571428571429
"452",3103,"2022-05-19",34,90.4285714285714
"453",3151,"2022-05-19",88,133.428571428571
"454",3153,"2022-05-19",62,96
"455",3154,"2022-05-19",29,49.4285714285714
"456",3155,"2022-05-19",84,116.714285714286
"457",3157,"2022-05-19",61,83.8571428571429
"458",3158,"2022-05-19",78,118.714285714286
"459",3159,"2022-05-19",210,259.428571428571
"460",3241,"2022-05-19",610,626.714285714286
"461",3251,"2022-05-19",200,241.857142857143
"462",3252,"2022-05-19",108,104
"463",3254,"2022-05-19",179,262.714285714286
"464",3255,"2022-05-19",37,56.8571428571429
"465",3256,"2022-05-19",75,142
"466",3257,"2022-05-19",97,151.571428571429
"467",3351,"2022-05-19",107,164.428571428571
"468",3352,"2022-05-19",146,244.571428571429
"469",3353,"2022-05-19",235,235.857142857143
"470",3354,"2022-05-19",52,77.1428571428571
"471",3355,"2022-05-19",184,139
"472",3356,"2022-05-19",76,96.5714285714286
"473",3357,"2022-05-19",170,160.142857142857
"474",3358,"2022-05-19",181,114.285714285714
"475",3359,"2022-05-19",226,220.285714285714
"476",3360,"2022-05-19",89,124.571428571429
"477",3361,"2022-05-19",101,164.714285714286
"478",3401,"2022-05-19",72,97.4285714285714
"479",3402,"2022-05-19",6,23
"480",3403,"2022-05-19",168,189
"481",3404,"2022-05-19",90,92
"482",3405,"2022-05-19",31,48.7142857142857
"483",3451,"2022-05-19",164,173.857142857143
"484",3452,"2022-05-19",168,142.285714285714
"485",3453,"2022-05-19",130,167
"486",3454,"2022-05-19",320,379
"487",3455,"2022-05-19",73,77.7142857142857
"488",3456,"2022-05-19",131,141
"489",3457,"2022-05-19",117,175.714285714286
"490",3458,"2022-05-19",165,192.714285714286
"491",3459,"2022-05-19",186,213.714285714286
"492",3460,"2022-05-19",89,119.857142857143
"493",3461,"2022-05-19",74,75.8571428571429
"494",3462,"2022-05-19",40,52.7142857142857
"495",4011,"2022-05-19",460,475.571428571429
"496",4012,"2022-05-19",82,76.5714285714286
"497",5111,"2022-05-19",423,349.714285714286
"498",5112,"2022-05-19",155,170.857142857143
"499",5113,"2022-05-19",232,245
"500",5114,"2022-05-19",109,94.5714285714286
"501",5116,"2022-05-19",96,127.857142857143
"502",5117,"2022-05-19",119,86
"503",5119,"2022-05-19",62,66.5714285714286
"504",5120,"2022-05-19",59,76
"505",5122,"2022-05-19",101,128.714285714286
"506",5124,"2022-05-19",214,238.714285714286
"507",5154,"2022-05-19",102,129.428571428571
"508",5158,"2022-05-19",224,291.142857142857
"509",5162,"2022-05-19",269,242.571428571429
"510",5166,"2022-05-19",158,155.857142857143
"511",5170,"2022-05-19",175,208.285714285714
"512",5314,"2022-05-19",115,122.857142857143
"513",5315,"2022-05-19",447,473
"514",5316,"2022-05-19",69,74.2857142857143
"515",5334,"2022-05-19",9,281.142857142857
"516",5358,"2022-05-19",152,260.428571428571
"517",5362,"2022-05-19",246,247.571428571429
"518",5366,"2022-05-19",146,186.285714285714
"519",5370,"2022-05-19",293,383.571428571429
"520",5374,"2022-05-19",148,181.428571428571
"521",5378,"2022-05-19",116,139.428571428571
"522",5382,"2022-05-19",250,252.857142857143
"523",5512,"2022-05-19",52,57.1428571428571
"524",5513,"2022-05-19",73,114.142857142857
"525",5515,"2022-05-19",236,198
"526",5554,"2022-05-19",220,328.714285714286
"527",5558,"2022-05-19",189,156.285714285714
"528",5562,"2022-05-19",369,324.857142857143
"529",5566,"2022-05-19",251,304.428571428571
"530",5570,"2022-05-19",245,276.571428571429
"531",5711,"2022-05-19",152,188.428571428571
"532",5754,"2022-05-19",164,196.285714285714
"533",5758,"2022-05-19",139,141.571428571429
"534",5762,"2022-05-19",52,77.5714285714286
"535",5766,"2022-05-19",213,187
"536",5770,"2022-05-19",172,247.857142857143
"537",5774,"2022-05-19",132,195
"538",5911,"2022-05-19",150,259.857142857143
"539",5913,"2022-05-19",380,405.571428571429
"540",5914,"2022-05-19",73,123.285714285714
"541",5915,"2022-05-19",141,123.285714285714
"542",5916,"2022-05-19",67,106.571428571429
"543",5954,"2022-05-19",139,174.857142857143
"544",5958,"2022-05-19",165,252
"545",5962,"2022-05-19",294,407.571428571429
"546",5966,"2022-05-19",62,86.2857142857143
"547",5970,"2022-05-19",206,271
"548",5974,"2022-05-19",158,168.428571428571
"549",5978,"2022-05-19",329,401.142857142857
"550",6411,"2022-05-19",74,117.714285714286
"551",6412,"2022-05-19",421,488.714285714286
"552",6413,"2022-05-19",39,60.1428571428571
"553",6414,"2022-05-19",127,232.857142857143
"554",6431,"2022-05-19",168,305.571428571429
"555",6432,"2022-05-19",159,252.142857142857
"556",6433,"2022-05-19",118,141.571428571429
"557",6434,"2022-05-19",171,229.857142857143
"558",6435,"2022-05-19",166,290.285714285714
"559",6436,"2022-05-19",148,147.714285714286
"560",6437,"2022-05-19",62,83.2857142857143
"561",6438,"2022-05-19",171,267
"562",6439,"2022-05-19",116,216.142857142857
"563",6440,"2022-05-19",142,213
"564",6531,"2022-05-19",140,175.285714285714
"565",6532,"2022-05-19",102,176.571428571429
"566",6533,"2022-05-19",81,106.857142857143
"567",6534,"2022-05-19",149,177
"568",6535,"2022-05-19",68,105
"569",6611,"2022-05-19",48,230.571428571429
"570",6631,"2022-05-19",118,159.714285714286
"571",6633,"2022-05-19",112,372.857142857143
"572",6634,"2022-05-19",139,159.428571428571
"573",6635,"2022-05-19",156,198.428571428571
"574",6636,"2022-05-19",51,71.2857142857143
"575",7111,"2022-05-19",47,48.8571428571429
"576",7131,"2022-05-19",47,70.1428571428571
"577",7132,"2022-05-19",83,101.285714285714
"578",7133,"2022-05-19",52,108.285714285714
"579",7134,"2022-05-19",23,46
"580",7135,"2022-05-19",30,45.1428571428571
"581",7137,"2022-05-19",89,96.7142857142857
"582",7138,"2022-05-19",68,75.8571428571429
"583",7140,"2022-05-19",50,98.4285714285714
"584",7141,"2022-05-19",86,111.428571428571
"585",7143,"2022-05-19",122,135.428571428571
"586",7211,"2022-05-19",48,59.4285714285714
"587",7231,"2022-05-19",16,54.1428571428571
"588",7232,"2022-05-19",32,49.2857142857143
"589",7233,"2022-05-19",24,66.4285714285714
"590",7235,"2022-05-19",52,88
"591",7311,"2022-05-19",7,19.8571428571429
"592",7312,"2022-05-19",35,84.5714285714286
"593",7313,"2022-05-19",35,34.1428571428571
"594",7314,"2022-05-19",48,54.5714285714286
"595",7315,"2022-05-19",143,159.857142857143
"596",7316,"2022-05-19",13,35.5714285714286
