"","date","name","code","Daily new hospital admissions","Daily people in MV beds","Daily people in hospital with coronavirus","Seven-day average hospital admissions","Seven-day average MV beds","Seven-day average hospital cases"
"450","2020-10-26","England","E92000001",1279,682,7856,1051.57142857143,610.714285714286,6882
"451","2020-10-25","England","E92000001",1186,663,7612,991.857142857143,588.857142857143,6566
"452","2020-10-24","England","E92000001",990,632,7176,946.714285714286,566.142857142857,6221.71428571429
"453","2020-10-23","England","E92000001",997,602,6842,917.428571428571,546.571428571429,5915
"454","2020-10-22","England","E92000001",987,564,6345,865.285714285714,529.428571428571,5631
"455","2020-10-21","England","E92000001",997,572,6271,837.428571428571,517.714285714286,5377.28571428571
"456","2020-10-20","England","E92000001",925,560,6072,795.857142857143,502.857142857143,5097.57142857143
"457","2020-10-19","England","E92000001",861,529,5644,772.857142857143,485.857142857143,4816.57142857143
"458","2020-10-18","England","E92000001",870,504,5202,744.714285714286,471.142857142857,4557
"459","2020-10-17","England","E92000001",785,495,5029,710.142857142857,456.428571428571,4328.71428571429
"460","2020-10-16","England","E92000001",632,482,4854,671.571428571429,442.285714285714,4091.57142857143
"461","2020-10-15","England","E92000001",792,482,4569,659,425.857142857143,3860.71428571429
"462","2020-10-14","England","E92000001",706,468,4313,619.142857142857,409.571428571429,3662.14285714286
"463","2020-10-13","England","E92000001",764,441,4105,588.428571428571,396.428571428571,3484
"464","2020-10-12","England","E92000001",664,426,3827,554.142857142857,383.285714285714,3312.28571428571
"465","2020-10-11","England","E92000001",628,401,3604,526.714285714286,369.714285714286,3152
"466","2020-10-10","England","E92000001",515,396,3369,505.285714285714,356.714285714286,2985
"467","2020-10-09","England","E92000001",544,367,3238,486.857142857143,344,2830.85714285714
"468","2020-10-08","England","E92000001",513,368,3179,462.142857142857,336,2679.71428571429
"469","2020-10-07","England","E92000001",491,376,3066,441.428571428571,324.142857142857,2521.14285714286
"470","2020-10-06","England","E92000001",524,349,2903,418.142857142857,310.714285714286,2374
"471","2020-10-05","England","E92000001",472,331,2705,387.571428571429,297.857142857143,2238.42857142857
"472","2020-10-04","England","E92000001",478,310,2435,364.142857142857,285.571428571429,2131.28571428571
"473","2020-10-03","England","E92000001",386,307,2290,330.285714285714,274.571428571429,2039.57142857143
"474","2020-10-02","England","E92000001",371,311,2180,310.142857142857,262.571428571429,1953.71428571429
"475","2020-10-01","England","E92000001",368,285,2069,296.285714285714,250.571428571429,1883.14285714286
"476","2020-09-30","England","E92000001",328,282,2036,284.857142857143,239.714285714286,1808.42857142857
"477","2020-09-29","England","E92000001",310,259,1954,282.857142857143,226.857142857143,1723.14285714286
"478","2020-09-28","England","E92000001",308,245,1955,276.857142857143,215.428571428571,1640.85714285714
"479","2020-09-27","England","E92000001",241,233,1793,272.142857142857,202.428571428571,1547.14285714286
"480","2020-09-26","England","E92000001",245,223,1689,271.571428571429,189.428571428571,1458.71428571429
"481","2020-09-25","England","E92000001",274,227,1686,265.714285714286,175.142857142857,1371.85714285714
"482","2020-09-24","England","E92000001",288,209,1546,255.857142857143,159.142857142857,1276.71428571429
"483","2020-09-23","England","E92000001",314,192,1439,243.142857142857,144.714285714286,1196.42857142857
"484","2020-09-22","England","E92000001",268,179,1378,224.428571428571,132.571428571429,1123.57142857143
"485","2020-09-21","England","E92000001",275,154,1299,213.857142857143,121.428571428571,1054
"486","2020-09-20","England","E92000001",237,142,1174,199.142857142857,112,984.428571428571
"487","2020-09-19","England","E92000001",204,123,1081,187.142857142857,102.285714285714,915.428571428571
"488","2020-09-18","England","E92000001",205,115,1020,178.428571428571,94.7142857142857,855.714285714286
"489","2020-09-17","England","E92000001",199,108,984,168.428571428571,96.7142857142857,798.857142857143
"490","2020-09-16","England","E92000001",183,107,929,160.428571428571,90.1428571428571,740
"491","2020-09-15","England","E92000001",194,101,891,153.714285714286,84,686.857142857143
"492","2020-09-14","England","E92000001",172,88,812,140.142857142857,78.7142857142857,636
"493","2020-09-13","England","E92000001",153,74,691,127.571428571429,75,599.285714285714
"494","2020-09-12","England","E92000001",143,70,663,117.857142857143,71.8571428571429,569.571428571429
"495","2020-09-11","England","E92000001",135,129,622,110.857142857143,69,542.142857142857
"496","2020-09-10","England","E92000001",143,62,572,101.142857142857,58.2857142857143,521
"497","2020-09-09","England","E92000001",136,64,557,90.5714285714286,57.7142857142857,506.142857142857
"498","2020-09-08","England","E92000001",99,64,535,82.4285714285714,57,491
"499","2020-09-07","England","E92000001",84,62,555,76.5714285714286,56.2857142857143,485.428571428571
"500","2020-09-06","England","E92000001",85,52,483,72,55.1428571428571,476.857142857143
"501","2020-09-05","England","E92000001",94,50,471,65.2857142857143,55.1428571428571,476.285714285714
"502","2020-09-04","England","E92000001",67,54,474,59.2857142857143,56,477.285714285714
"503","2020-09-03","England","E92000001",69,58,468,56,55.7142857142857,476.571428571429
"504","2020-09-02","England","E92000001",79,59,451,56,56.2857142857143,480
"505","2020-09-01","England","E92000001",58,59,496,52.1428571428571,55.7142857142857,484.857142857143
"506","2020-08-31","England","E92000001",52,54,495,52.4285714285714,56.1428571428571,485.428571428571
"507","2020-08-30","England","E92000001",38,52,479,50.8571428571429,57.2857142857143,489.285714285714
"508","2020-08-29","England","E92000001",52,56,478,51.7142857142857,59.1428571428571,495.428571428571
"509","2020-08-28","England","E92000001",44,52,469,47.8571428571429,60.5714285714286,512
"510","2020-08-27","England","E92000001",69,62,492,48.5714285714286,62.2857142857143,520.428571428571
"511","2020-08-26","England","E92000001",52,55,485,45.1428571428571,62.5714285714286,528.857142857143
"512","2020-08-25","England","E92000001",60,62,500,46,63.7142857142857,541.142857142857
"513","2020-08-24","England","E92000001",41,62,522,45.4285714285714,64,555
"514","2020-08-23","England","E92000001",44,65,522,46.1428571428571,64.7142857142857,569.857142857143
"515","2020-08-22","England","E92000001",25,66,594,45.4285714285714,65.2857142857143,585.857142857143
"516","2020-08-21","England","E92000001",49,64,528,47.2857142857143,65.5714285714286,591
"517","2020-08-20","England","E92000001",45,64,551,48.1428571428571,65.4285714285714,607.285714285714
"518","2020-08-19","England","E92000001",58,63,571,50.2857142857143,65.4285714285714,621.714285714286
"519","2020-08-18","England","E92000001",56,64,597,49.2857142857143,66.1428571428571,631.857142857143
"520","2020-08-17","England","E92000001",46,67,626,50.2857142857143,66,642.571428571429
"521","2020-08-16","England","E92000001",39,69,634,50.8571428571429,65,655.142857142857
"522","2020-08-15","England","E92000001",38,68,630,52.8571428571429,63.1428571428571,651.857142857143
"523","2020-08-14","England","E92000001",55,63,642,58.5714285714286,61.2857142857143,654.714285714286
